["269ee14cc35b0a6821da2e593b1a4760","2019-12-28 18:58:12"]
["269ee14cc35b0a6821da2e593b1a4760","2019-12-28 18:58:21"]
["223064852d2f3248272dc9506c8730d4","2019-12-28 21:31:52"]
["223064852d2f3248272dc9506c8730d4","2019-12-28 21:31:53"]
["223064852d2f3248272dc9506c8730d4","2019-12-28 21:31:53"]
["223064852d2f3248272dc9506c8730d4","2019-12-28 21:32:41"]
["223064852d2f3248272dc9506c8730d4","2019-12-28 21:32:41"]
["6a99843e304a8fd3139dce1dff962a85","2019-12-28 21:39:40"]
["6a99843e304a8fd3139dce1dff962a85","2019-12-28 21:39:44"]
["6a99843e304a8fd3139dce1dff962a85","2019-12-28 21:39:44"]
["6a99843e304a8fd3139dce1dff962a85","2019-12-28 21:40:56"]
["6a99843e304a8fd3139dce1dff962a85","2019-12-28 21:40:58"]
["22074f448397ec266f742a9cdbc4423f","2019-12-28 21:52:23"]
["22074f448397ec266f742a9cdbc4423f","2019-12-28 21:52:39"]
["4396b4e2c23a3f972b7076f3aead92de","2019-12-28 21:53:16"]
["eae2bc013b130ccc74d93a4677de7eb5","2019-12-28 22:09:32"]
["f9d99a844e30430d647d44a9d48d1a50","2019-12-28 22:09:32"]
["494cfab8da2c4717c3e0019d596c0c6e","2019-12-28 22:09:32"]
["1e7e94d0877e35191c9d4a908d5558d2","2019-12-28 22:09:32"]
